Direction,Pitch,Roll,Yaw
Right,-25,20,-14
Right,-26,20,-13
Right,-28,21,-11
Right,-28,20,-10
Right,-29,20,-9
Right,-29,20,-9
Right,-29,19,-9
Right,-29,19,-9
Right,-29,19,-8
Right,-29,19,-8
Right,-29,19,-8
Right,-29,19,-8
Right,-29,19,-8
Right,-29,18,-8
Right,-29,18,-8
Right,-29,18,-8
Right,-29,18,-8
Right,-29,18,-8
Right,-29,18,-8
Right,-29,18,-7
Right,-29,18,-7
Right,-29,18,-7
Right,-29,18,-7
Right,-29,18,-7
Right,-29,18,-7
Right,-29,18,-7
Right,-29,18,-6
Right,-30,18,-6
Right,-30,18,-6
Right,-30,17,-6
Right,-30,17,-6
Right,-30,17,-6
Right,-30,17,-5
Right,-30,17,-6
Right,-30,17,-5
Right,-30,17,-5
Right,-30,17,-5
Right,-30,17,-5
Right,-30,17,-5
Right,-30,17,-5
Right,-30,17,-5
Right,-30,17,-5
Right,-30,17,-5
Right,-30,17,-5
Right,-30,17,-5
Right,-30,17,-4
Right,-30,17,-4
Right,-30,17,-4
Right,-30,16,-4
Right,-30,16,-4
Right,-30,16,-4
Right,-30,16,-4
Right,-30,16,-4
Right,-30,16,-4
Bottom,-30,16,-4
Bottom,-30,16,-3
Bottom,-26,19,-5
Bottom,-13,31,-7
Bottom,-5,40,-12
Bottom,3,49,-16
Bottom,7,56,-17
Bottom,7,59,-17
Bottom,7,60,-17
Bottom,6,60,-17
Bottom,6,61,-17
Bottom,6,61,-18
Bottom,6,61,-18
Bottom,6,61,-18
Bottom,5,61,-19
Bottom,5,61,-20
Bottom,5,61,-21
Bottom,5,61,-21
Bottom,5,60,-22
Bottom,5,60,-22
Bottom,5,60,-23
Bottom,5,59,-23
Bottom,5,58,-23
Bottom,4,58,-24
Bottom,4,57,-24
Bottom,4,57,-24
Bottom,4,57,-25
Bottom,4,57,-25
Bottom,3,57,-26
Bottom,3,57,-26
Bottom,3,57,-26
Bottom,3,57,-27
Bottom,3,57,-27
Bottom,3,57,-28
Bottom,3,57,-28
Bottom,3,57,-28
Bottom,3,57,-29
Bottom,3,57,-29
Bottom,3,57,-30
Bottom,3,57,-30
Bottom,3,57,-30
Bottom,3,57,-31
Bottom,3,57,-31
Bottom,3,57,-32
Bottom,3,57,-33
Bottom,4,57,-33
